accuracy,loss,val_accuracy,val_loss
0.6171079277992249,0.6667271852493286,0.6991869807243347,0.6299299597740173
0.771894097328186,0.5776667594909668,0.7154471278190613,0.5656706094741821
0.7739307284355164,0.5114322304725647,0.7154471278190613,0.5266103148460388
0.7739307284355164,0.4709320664405823,0.7317073345184326,0.4963158369064331
0.7739307284355164,0.45425719022750854,0.7479674816131592,0.4838715195655823
0.7861506938934326,0.4385461211204529,0.7560975551605225,0.48003950715065
0.7922607064247131,0.4278033971786499,0.7642276287078857,0.4738413691520691
0.7963340282440186,0.4169155955314636,0.7479674816131592,0.46792832016944885
0.8065173029899597,0.4091339707374573,0.7560975551605225,0.4699184000492096
0.8126273155212402,0.40329644083976746,0.7560975551605225,0.4633559584617615
0.8146639466285706,0.397419273853302,0.7642276287078857,0.4659200608730316
0.8085539937019348,0.3927838206291199,0.7642276287078857,0.4592738151550293
0.8126273155212402,0.3867418169975281,0.7642276287078857,0.4581649899482727
0.8126273155212402,0.383960485458374,0.7804877758026123,0.4599786400794983
0.8167006373405457,0.379085510969162,0.7642276287078857,0.46052321791648865
0.818737268447876,0.3748621940612793,0.7642276287078857,0.45736584067344666
0.8248472213745117,0.37115076184272766,0.7642276287078857,0.46959853172302246
0.8167006373405457,0.3689037561416626,0.772357702255249,0.464620977640152
0.8248472213745117,0.3638099133968353,0.7560975551605225,0.46559807658195496
0.8248472213745117,0.36095723509788513,0.7560975551605225,0.4591907262802124
0.8248472213745117,0.3581785261631012,0.7560975551605225,0.4627690315246582
0.8289205431938171,0.3586058020591736,0.7479674816131592,0.4622391164302826
0.8411405086517334,0.35382744669914246,0.7642276287078857,0.46225377917289734
0.8411405086517334,0.3500707745552063,0.772357702255249,0.4661701023578644
0.8472505211830139,0.34628599882125854,0.7560975551605225,0.46533578634262085
0.8472505211830139,0.3434365391731262,0.7560975551605225,0.4634705185890198
0.8411405086517334,0.3449929654598236,0.7560975551605225,0.46783652901649475
0.8533604741096497,0.335930734872818,0.7560975551605225,0.46845248341560364
0.8574337959289551,0.3321739137172699,0.7642276287078857,0.4652584493160248
0.8513238430023193,0.3293676972389221,0.7560975551605225,0.4685758948326111
0.8513238430023193,0.32908952236175537,0.772357702255249,0.4797060191631317
0.8594704866409302,0.3235660195350647,0.7398374080657959,0.4700388014316559
0.8553971648216248,0.32173943519592285,0.772357702255249,0.47726568579673767
0.8533604741096497,0.31676939129829407,0.7560975551605225,0.4734208583831787
0.8655804395675659,0.3157227635383606,0.7479674816131592,0.48211491107940674
0.8655804395675659,0.316608190536499,0.7479674816131592,0.4696388244628906
0.8635438084602356,0.30695825815200806,0.7479674816131592,0.4807371199131012
0.8615071177482605,0.30673477053642273,0.7479674816131592,0.47692638635635376
0.8574337959289551,0.3083128035068512,0.7560975551605225,0.4924713373184204
0.867617130279541,0.29972246289253235,0.7317073345184326,0.47882840037345886
0.867617130279541,0.2972562611103058,0.7398374080657959,0.4767453670501709
0.8716904520988464,0.29167282581329346,0.7479674816131592,0.4833624064922333
0.8655804395675659,0.29143285751342773,0.7317073345184326,0.48113110661506653
0.867617130279541,0.2874678671360016,0.7398374080657959,0.47729164361953735
0.8615071177482605,0.2887469530105591,0.7479674816131592,0.47724488377571106
0.8716904520988464,0.2842642366886139,0.7479674816131592,0.48581403493881226
0.8615071177482605,0.28312620520591736,0.7398374080657959,0.4835732877254486
0.8716904520988464,0.2771202623844147,0.7479674816131592,0.4936436712741852
0.8737270832061768,0.27461594343185425,0.7398374080657959,0.49557965993881226
0.8839103579521179,0.2705206274986267,0.7479674816131592,0.4916784465312958
